Question,Answer,,Len
The cat sat quietly on the couch,The cat sat quietly on the couch,,32
I enjoy walking in the fresh air,I enjoy walking in the fresh air,,32
She loves wearing bright red shoes,She loves wearing bright red shoes,,34
The sun sets behind the tall trees,The sun sets behind the tall trees,,34
The dog barked at the delivery man,The dog barked at the delivery man,,34
He wrote a note with a blue pen,He wrote a note with a blue pen,,31
We danced under the twinkling stars,We danced under the twinkling stars,,35
The fire burned brightly in the room,The fire burned brightly in the room,,36
I baked cookies for my little sister,I baked cookies for my little sister,,36
The rain fell softly on the rooftop,The rain fell softly on the rooftop,,35
She opened the gift with a big smile,She opened the gift with a big smile,,36
The leaves swirled in the autumn wind,The leaves swirled in the autumn wind,,37
We played soccer in the empty field,We played soccer in the empty field,,35
The moon shone brightly in the night,The moon shone brightly in the night,,36
I found a coin on the dusty ground,I found a coin on the dusty ground,,34
The bird sang sweetly in the morning,The bird sang sweetly in the morning,,36
He wore a jacket to stay warm today,He wore a jacket to stay warm today,,35
We watched the waves crash on the beach,We watched the waves crash on the beach,,39
She laughed loudly at the silly joke,She laughed loudly at the silly joke,,36
The train arrived at the empty station,The train arrived at the empty station,,38
I enjoy tea on cold winter mornings,I enjoy tea on cold winter mornings,,35
The child drew pictures with crayons,The child drew pictures with crayons,,36
The flowers bloom in the early spring,The flowers bloom in the early spring,,37
The car stopped at the traffic light,The car stopped at the traffic light,,36
We walked along the quiet sandy beach,We walked along the quiet sandy beach,,37
The cat chased a mouse across the floor,The cat chased a mouse across the floor,,39
The baby smiled at the shiny balloon,The baby smiled at the shiny balloon,,36
The clouds drifted slowly through the sky,The clouds drifted slowly through the sky,,41
She planted flowers in her garden bed,She planted flowers in her garden bed,,37
The puppy wagged its tail with joy,The puppy wagged its tail with joy,,34
The wind blew the leaves down the street,The wind blew the leaves down the street,,40
The kids built a sandcastle by the sea,The kids built a sandcastle by the sea,,38
I found a feather on the hiking trail,I found a feather on the hiking trail,,37
The bakery smelled like sweet cinnamon,The bakery smelled like sweet cinnamon,,38
We roasted marshmallows by the fire,We roasted marshmallows by the fire,,35
The girl painted a picture of a tree,The girl painted a picture of a tree,,36
The dog lay sleeping under the warm sun,The dog lay sleeping under the warm sun,,39
The stars twinkled brightly in the sky,The stars twinkled brightly in the sky,,38
The kids laughed loudly at the puppet show,The kids laughed loudly at the puppet show,,42
We watched a movie on a rainy day,We watched a movie on a rainy day,,33
The snow sparkled in the bright sunlight,The snow sparkled in the bright sunlight,,40
She wore a red scarf on a windy day,She wore a red scarf on a windy day,,35
I love the smell of fresh baked bread,I love the smell of fresh baked bread,,37
The candle flickered in the quiet room,The candle flickered in the quiet room,,38
The waves splashed gently on the shore,The waves splashed gently on the shore,,38
We saw a rainbow after the heavy rain,We saw a rainbow after the heavy rain,,37
The cat sleeps on the soft pillow,The cat sleeps on the soft pillow,,33
The dog runs in the green yard,The dog runs in the green yard,,30
The sun sets behind the mountains,The sun sets behind the mountains,,33
She sings songs in the small room,She sings songs in the small room,,33
I love drinking tea in the morning,I love drinking tea in the morning,,34
The baby laughs at the bouncing ball,The baby laughs at the bouncing ball,,36
We walk together on the beach sand,We walk together on the beach sand,,34
The fire burns brightly in the night,The fire burns brightly in the night,,36
The bird flies high in the blue sky,The bird flies high in the blue sky,,35
The stars shine in the dark night,The stars shine in the dark night,,33
He found a coin on the dirt road,He found a coin on the dirt road,,32
She plants flowers in the front yard,She plants flowers in the front yard,,36
The rain falls softly on the rooftop,The rain falls softly on the rooftop,,36
The kids play soccer in the open field,The kids play soccer in the open field,,38
The waves crash loudly on the rocky shore,The waves crash loudly on the rocky shore,,41
The baby sleeps in her small pink crib,The baby sleeps in her small pink crib,,38
We built sandcastles near the water,We built sandcastles near the water,,35
The dog barks loudly at the new mailman,The dog barks loudly at the new mailman,,39
The candle flickers on the wooden table,The candle flickers on the wooden table,,39
The flowers bloom in the spring sunshine,The flowers bloom in the spring sunshine,,40
The cat jumps onto the tall bookshelf,The cat jumps onto the tall bookshelf,,37
The kids laugh at the funny clown,The kids laugh at the funny clown,,33
I enjoy reading books at sunset,I enjoy reading books at sunset,,31
The snow falls gently on the trees,The snow falls gently on the trees,,34
We walked slowly along the riverbank,We walked slowly along the riverbank,,36
The dog chased the ball across the yard,The dog chased the ball across the yard,,39
The sun rises over the calm ocean,The sun rises over the calm ocean,,33
She painted flowers on the canvas,She painted flowers on the canvas,,33
The clock ticks loudly in the room,The clock ticks loudly in the room,,34
The baby giggles at the red balloon,The baby giggles at the red balloon,,35
The wind blows leaves down the street,The wind blows leaves down the street,,37
The moon shines bright in the night,The moon shines bright in the night,,35
We roasted marshmallows by the fire,We roasted marshmallows by the fire,,35
The bird sang sweetly in the morning,The bird sang sweetly in the morning,,36
The stars twinkle in the evening sky,The stars twinkle in the evening sky,,36
The train arrived at the station late,The train arrived at the station late,,37
The waves splash softly onto the sand,The waves splash softly onto the sand,,37
The bakery smells of fresh warm bread,The bakery smells of fresh warm bread,,37
The leaves fall gently from the trees,The leaves fall gently from the trees,,37
We saw a rainbow after the rainstorm,We saw a rainbow after the rainstorm,,36
She picked flowers in the green meadow,She picked flowers in the green meadow,,38
The puppy wagged its tail with joy,The puppy wagged its tail with joy,,34
The clouds drift across the blue sky,The clouds drift across the blue sky,,36
The fire crackled softly in the night,The fire crackled softly in the night,,37
He carried a basket of fresh apples,He carried a basket of fresh apples,,35
I found a feather on the hiking trail,I found a feather on the hiking trail,,37
The sun warms the grass on the hill,The sun warms the grass on the hill,,35
The kids play tag in the empty field,The kids play tag in the empty field,,36
She drew a picture of a smiling sun,She drew a picture of a smiling sun,,35
The kite flew high above the trees,The kite flew high above the trees,,34
The clock struck twelve in the night,The clock struck twelve in the night,,36
We ate sandwiches under the shady tree,We ate sandwiches under the shady tree,,38
The river flows slowly past the rocks,The river flows slowly past the rocks,,37
The dog slept near the warm fireplace,The dog slept near the warm fireplace,,37
The rain pattered softly on the window,The rain pattered softly on the window,,38
The stars reflect on the quiet lake,The stars reflect on the quiet lake,,35
The kitten played with a ball of yarn,The kitten played with a ball of yarn,,37
